E4  countdown post-training, resolution rule, 250 gens

### DiPEC subsample rate
arm                      pass@1    sem  pass@16    sem     gap
baseline (λ=1)           0.1224  0.006   0.1628  0.009  0.0404
dipec λ=1.25             0.1042  0.007   0.1901  0.034  0.0859
dipec λ=1.5              0.1133  0.005   0.1615  0.015  0.0482
dipec λ=2.0              0.1172  0.002   0.1628  0.016  0.0456
dipec λ=4.0              0.0951  0.010   0.1628  0.017  0.0677
dipec λ=8.0              0.0794  0.011   0.1667  0.009  0.0872

### Novelty vs RANDOM control, 8 seeds (sparse reward)
arm                      pass@1    sem  pass@16    sem     gap
baseline                 0.1206  0.003   0.1602  0.008  0.0396
novelty λ=0.2            0.1157  0.003   0.1880  0.014  0.0723
novelty λ=0.4            0.1143  0.007   0.2124  0.016  0.0981
RANDOM λ=0.2 (ctrl)      0.1152  0.003   0.1479  0.005  0.0327
RANDOM λ=0.4 (ctrl)      0.1060  0.003   0.1753  0.013  0.0693

total 19253s
